label,core
Dangaleat_(n=25),Dangaleat
Danish_(n=86),Danish
Dargin_(n=10),Dargin
Dargin_Urkarah_(low_res)_(n=18),Dargin_Urkarah
Datog_(n=3),Datog
Daur_(n=3),Daur
Dhurwa_Odisha_(n=1),Dhurwa_Odisha
Dinka_(n=33),Dinka
Dinka_o1_(n=5),Dinka
Dinka_o2_(n=1),Dinka
Dinka_o3_(n=1),Dinka
Dogon_(n=12),Dogon
Dogra_Brahmin_Jammu_(n=1),Dogra_Brahmin_Jammu
Dolgan_(n=15),Dolgan
Dong_Guizhou_Congjiang_(n=3),Dong_Guizhou_Congjiang
Dong_Guizhou_Liping_(n=52),Dong_Guizhou_Liping
Dong_Guizhou_Rongjiang_(n=2),Dong_Guizhou_Rongjiang
Dong_Guizhou_Tianzhu_(n=1),Dong_Guizhou_Tianzhu
Dong_Guizhou_Tongren_(n=20),Dong_Guizhou_Tongren
Dong_Guizhou_Tongren_o_(n=1),Dong_Guizhou_Tongren
Dong_Hunan_(n=7),Dong_Hunan
Dongxiang_(n=36),Dongxiang
Druze_Israel_(n=12),Druze_Israel
Druze_Lebanon_(n=11),Druze_Lebanon
Dungan_(n=15),Dungan
Dusadh_(n=3),Dusadh
Dusun_Brunei_(n=20),Dusun_Brunei
Dutch_(n=167),Dutch
Dutch_Central_(n=2),Dutch_Central
Dutch_Central+South_(n=3),Dutch_Central+South
Dutch_Groningen_(n=2),Dutch_Groningen
Dutch_Limburg_(n=1),Dutch_Limburg
Dutch_North_(n=2),Dutch_North
Dutch_North_Brabant_(n=1),Dutch_North_Brabant
Dutch_South_Holland_(n=2),Dutch_South_Holland
Eastern_Uttar_Pradeshi_Brahmin_(n=7),Eastern_Uttar_Pradeshi_Brahmin
Eastern_Uttar_Pradeshi_Brahmin_o_(n=1),Eastern_Uttar_Pradeshi_Brahmin
Eastern_Uttar_Pradeshi_Kalal_(n=1),Eastern_Uttar_Pradeshi_Kalal
Eastern_Uttar_Pradeshi_Teli_(n=1),Eastern_Uttar_Pradeshi_Teli
Egyptian_Arab_Muslim_(n=67),Egyptian_Arab_Muslim
Egyptian_Arab_Muslim_Alexandria_(n=5),Egyptian_Arab_Muslim_Alexandria
Egyptian_Arab_Muslim_Beheira_(n=2),Egyptian_Arab_Muslim_Beheira
Egyptian_Arab_Muslim_Cairo_(n=3),Egyptian_Arab_Muslim_Cairo
Egyptian_Arab_Muslim_Dakahlia_(n=10),Egyptian_Arab_Muslim_Dakahlia
Egyptian_Arab_Muslim_Gharbia_(n=5),Egyptian_Arab_Muslim_Gharbia
Egyptian_Arab_Muslim_Giza_(n=2),Egyptian_Arab_Muslim_Giza
Egyptian_Arab_Muslim_Luxor_(n=1),Egyptian_Arab_Muslim_Luxor
Egyptian_Arab_Muslim_o_(Intermediate_Profile)_(n=1),Egyptian_Arab_Muslim
Egyptian_Arab_Muslim_Qalyubia_(n=2),Egyptian_Arab_Muslim_Qalyubia
Egyptian_Arab_Muslim_Sharqia_(n=2),Egyptian_Arab_Muslim_Sharqia
Egyptian_Copt_(n=27),Egyptian_Copt
Egyptian_Copt_Sudan_(n=11),Egyptian_Copt_Sudan
Elmolo_(n=2),Elmolo
Emirati_(Bandari_Profile)_(n=10),Emirati
Emirati_(Dom_Profile)_(n=1),Emirati
Emirati_(Eastern_Iranian_Plateau_Profile)_(n=2),Emirati
Emirati_(Iranian_Plateau_Profile)_(n=8),Emirati
Emirati_(South_Asian+SSA-Mixed_Profile)_(n=2),Emirati
Emirati_(South_Asian+SSA-Mixed_Profile)_o_(n=1),Emirati
Emirati_Arab_(Arabian_Profile)_(n=64),Emirati_Arab
Emirati_Arab_(Arabian-Mixed_Profile)_(n=22),Emirati_Arab
Emirati_Arab_(Irano-Mesopotamian_Profile)_(n=2),Emirati_Arab
Emirati_Arab_(Mesopotamian_Arab_Profile)_(n=10),Emirati_Arab
Emirati_Arab_(South_Asian-Mixed_Profile)_(n=7),Emirati_Arab
Emirati_Arab_(South_Asian-Mixed_Profile)_o_(n=4),Emirati_Arab
Emirati_Arab_(South_Asian+SSA-Mixed_Profile)_(n=13),Emirati_Arab
Emirati_Arab_(South_Asian+SSA-Mixed_Profile)_o1_(n=6),Emirati_Arab
Emirati_Arab_(South_Asian+SSA-Mixed_Profile)_o2_(n=4),Emirati_Arab
Emirati_Arab_(South_Asian+SSA-Mixed_Profile)_o3_(n=2),Emirati_Arab
Emirati_Arab_(South_Asian+SSA-Mixed_Profile)_o4_(n=3),Emirati_Arab
Emirati_Arab_(SSA-Mixed_Profile)_(n=5),Emirati_Arab
Emirati_Arab_(SSA-Mixed_Profile)_o1_(n=4),Emirati_Arab
Emirati_Arab_(SSA-Mixed_Profile)_o2_(n=1),Emirati_Arab
Emirati_Arab_(SSA-Mixed_Profile)_o3_(n=2),Emirati_Arab
Emirati_Arab_(SSA-Mixed_Profile)_o4_(n=1),Emirati_Arab
English_(n=44),English
Eritrean_(n=4),Eritrean
Esan_(n=8),Esan
Estonian_(n=11),Estonian
Even_(n=7),Even
Even_(European-Mixed)_(n=8),Even_(European-Mixed)
Evenk_(n=18),Evenk
